0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
1367	full time	means of dreams when I am discouraged and give up the task she grants me delightful hopes in regard to the future, that time will allow this history to survive and never let its brightness be dimmed. #fulltime
1368	full time	Pertinax was one of those men to whom no exception can be taken, but he ruled only for an exceedingly brief space of time and was then put out of the way by the soldiers. #fulltime
1369	full time	Since they had got rid of one ruler, and as yet had nothing to fear from his successor, they made the most of their freedom in the intervening time and secured a reputation for frankness by their fearlessness. #fulltime
1370	full time	After this they exhumed the bodies, some of which were found entire and some in fragments, according as decay and time had
1370	full time	caused each of them to fare, and they gave them decent treatment and deposited them in their ancestral tombs. #fulltime
1371	full time	At this time the treasury was suffering from such lack of funds that only twentyfive myriad denarii could be found. #fulltime
1372	full time	He did not comprehend, though a well trained man of affairs, that it is impossible with safety to reform everything at once, but that the constitution of a government requires, if anything does, both time and wisdom. #fulltime
1373	full time	Captivated by the difference and at the same time through fear that Sulpicianus might avenge Pertinax an idea that Julianus put into their heads they received the highest bidder inside and designated him emperor. #fulltime
1374	full time	Finding the dinner that had been prepared for Pertinax he made great fun of it, and sending out to every place from which by
1374	full time	any means whatever something expensive could be procured at that time of day he satisfied his hunger the corpse was still lying in the building and then proceeded to amuse himself by dicing. #fulltime
1375	full time	The senate had at one time voted him a golden statue and he refused to accept it, saying "Give me a bronze one so that it may
1375	full time	last; for I perceive that the gold and silver statues of the emperors that ruled before me have been torn down, whereas the bronze ones remain. #fulltime
1376	full time	There were three men at this time who were commanding each three legions of citizens and many foreigners besides, and they all asserted their claims, Severus, Niger, and Albinus. #fulltime
1377	full time	He did not venture outside a protecting circle of weapons, having selected his six hundred most valiant men in whose midst he passed his time day and night; these did not once put off their breastplates until they reached Rome. #fulltime
1378	full time	So it was that Julianus came to be slain as he was reclining in the palace itself; he had only time to say "Why, what harm
1378	full time	have I done? Whom have I killed?" He had lived sixty years, four months, and the same number of days, out of which he had reigned sixtysix days. #fulltime
1379	full time	At another time he was taken by some one to a point affording a wide view; and as he gazed from it over all the earth and all
1379	full time	the sea he laid his fingers on them as one might on some instrument  Compare Plato, Republic,  C. capable of all harmonies, and they answered to his touch. #fulltime
1380	full time	His funeral, in spite of the time elapsed since his death, took place as follows  In the Forum Romanum a wooden platform was
1380	full time	constructed hard by the stone one, upon which was set a building without walls but encompassed by columns, with elaborate ivory and gold decoration. #fulltime
1381	full time	But at this time he was more than usually elated, so that he showed how much he liked those who called him "the new
1381	full time	Alexander"; and when one man asked, "Who gave you permission to do this?" he pointed to his sword and rejoined, "This did. #fulltime
1382	full time	The rest, when they had laden their boats with more than the latter could bear, set sail after waiting this time also for a great storm. #fulltime
1383	full time	The inhabitants of Byzantium, as they watched this, for a time called unceasingly upon the gods and kept uttering now one
1383	full time	shout and now another at the various events, according as each one was affected by the spectacle or the disaster enacted before his eyes. #fulltime
1384	full time	Severus was so pleased at the capture of Byzantium that to his soldiers in Mesopotamia where he was at this time he said
1384	full time	unreservedly "We have taken Byzantium, too!" He deprived the city of its independence and of its civil rank, and made it tributary, confiscating the property of the citizens. #fulltime
1385	full time	The visitor was not discovered at the time nor was he later arrested. #fulltime
1386	full time	And the Arabians, because none of their neighbors was willing to aid them, sent an embassy a second time to Severus making quite reasonable propositions. #fulltime
1387	full time	Before Severus had had time to recover breath from his conflicts with the barbarians he found a civil war on his hands with Albinus, his Caesar. #fulltime
1388	full time	For not otherwise could so many myriads of men have started to utter the same shouts at the same time like some carefully trained chorus or have spoken the words without mistake just as if they had practiced them. #fulltime
1389	full time	LXXV,  In Britain at this period, because the Caledonians did not abide by their promises but made preparations to aid the
1389	full time	Maeatians, and because Severus at the time was attending to the war abroad, Lupus was compelled to purchase peace for the Maeatians at a high figure, and recovered some few captives. #fulltime
1390	full time	Hence it is always covered with snow, which in summer time sends down great quantities of water. #fulltime
1391	full time	For one thing, his portrait statues were not only far more numerous but also larger than theirs, and this not simply in
1391	full time	outside cities but in Rome itself, and they were at this time reared not merely by individuals but by no less a body than the senate itself. #fulltime
1392	full time	Therefore, from this time on every woman, no matter what her origin, was prohibited from fighting in the arena. #fulltime
1393	full time	Still, for a time most of this eluded Severus's individual notice, or else he knew it but pretended the opposite. #fulltime
1394	full time	This was done as a surprise at the observances held in the palace in honor of the heroes, at a time when the spectacle had ceased and dinner was about to be served. #fulltime
1395	full time	As for Saturninus and Euodus, they were honored at the time but were later executed by Antoninus. #fulltime
1396	full time	The sons of Severus, Antoninus and Greta, felt as if they had got rid of a pedagogue in Plautianus, and their conduct was from this time on irresponsible. #fulltime
1397	full time	He had been aedile at the time and was extremely bald. #fulltime
1398	full time	We commended this speech, the informer was brought in while the senator stood by, and for a long time was silent, looking about for the man to point out. #fulltime
1399	full time	This implied that up to this time his obscure origin had made him as good as fatherless. #fulltime
1400	full time	Artisans, however, he detained for a time and after making use of their skill dismissed them with something extra as a present. #fulltime
1401	full time	The enemy purposely put sheep and cattle in front of them for the soldiers to seize, in order that the latter might be deceived for a longer time and wear themselves out. #fulltime
1402	full time	The following is the style of life that Severus led in time of peace. #fulltime
1403	full time	Antoninus had first had the desire to murder his brother while his father was still alive, but had been unable to do so at that time because of Severus, or later, on the road, because of the legions. #fulltime
1404	full time	Then there was the provisions which we were all the time levying in great abundance from all quarters, sometimes seizing them
1404	full time	without compensation and sometimes spending a little something on them all this supply he presented or else peddled to the soldiers. #fulltime
1405	full time	Not even this sufficed him, but more than ever from this time he began his practice of unholy rites and often forced others to share his pollution by making a kind of annual offering to his brother's Manes. #fulltime
1406	full time	For this he was at the time imprisoned to await execution, but later was released, as the emperor died before he did. #fulltime
1407	full time	And since one of the latter's associates, under accusation at the same time with him, hanged himself before execution,
1407	full time	Antoninus delivered his corpse to the barbarians to be wounded, that the man might be regarded as having been killed in pursuance of a sentence instead of dying voluntarily which was deemed a creditable act among them. #fulltime
1408	full time	And he sent word to the senate that he was observing purity during the days when he was in reality sacrificing there domestic beasts and human beings at the same time to the god. #fulltime
1409	full time	and the rest five thousand lacuna  That model of temperance as he was wont to put it, the rebuker of licentiousness in others,
1409	full time	at the consummation of a most vile and at the same time most dangerous outrage, appeared, in truth, to be indignant; but by
1409	full time	not giving that indignation sufficient free play and further by allowing the youths to do what no one had ever yet dared to
1409	full time	propose, he greatly corrupted the latter, who had imitated the habits of women of the demimonde and of professional male buffoons. #fulltime
1410	full time	Macrinus, sent to Rome, had revealed this to Flavius Maternianus, who at the time commanded the soldiers in the city, and he had at once sent word to Antoninus. #fulltime
1411	full time	At this time the soldiers, both for this reason and, beyond other considerations, because they were vexed at having the
1411	full time	barbarians preferred to themselves, were not altogether so enthusiastic over their leader as of yore and did not aid him when he became the victim of a plot. #fulltime
1412	full time	The petition mentioned had always been uttered from the beginning of his sovereignty and this was the first and only time that he found fault with it. #fulltime
1413	full time	At the time this quotation seemed to have been mere nonsense, but when not long after he perished the fact that this was the
1413	full time	last speech he uttered to me was thought to infuse into it a certain truly oracular significance with regard to what was to befall him. #fulltime
1414	full time	Even during the life of Tarautas he was led, in the way that I have described, to harbor in his mind the hope of empire; and
1414	full time	at his death he did not, to be sure, either that day or the two following days occupy the office, in order to avoid the
1414	full time	imputation of having killed him with such intentions but for that space of time the Roman state remained completely bereft of a ruler possessing authority, though without the people's knowing it. #fulltime
1415	full time	had been tried by Severus, although at the time he was attached to the fiscus; he had then been driven out to an island for
1415	full time	betraying some interest, was subsequently restored, together with the rest, by Tarautas, had taken charge of his decisions and
1415	full time	letters, and finally had been degraded to the position of senator, with exconsular rank, because he had admitted overgrown lads into the army. #fulltime
1416	full time	Triccianus served in the rank and file of the Pannonian contingent, had once been porter to the governor of that country, and was at this time commanding the Alban legion. #fulltime
1417	full time	At the same time the public demanded that the horserace given on his birthday be abolished, that absolutely all the statues, both gold and silver, erected  Supplying, with Reiske, Greek hidruthentas. #fulltime
1418	full time	At this time Macrinus neither sent to the senate, as they were demanding, nor published otherwise any document of the
1418	full time	informers, saying either truly or falsely to avoid a great disturbance that none such had been found in the royal residence. #fulltime
1419	full time	He fought them at Tusculum every now and then, and contended with so many each time that he bore the scars of their bites. #fulltime
1420	full time	The inscriptions of these consular prefects begin not earlier than the end of the reign of Marcus Aurelius, perhaps not till
1420	full time	Commodus, and extend to the time of Macrinus, while during this whole time a period, that is, of about forty years all trace of the district prefects vanishes. #fulltime
1421	full time	As the time for him to govern turned out to be short, Macrinus bade him hold the office for the following year in place of Aufidius Fronto. #fulltime
1422	full time	The cancer in her breast, which, for a very long time had remained stationary in its progress, had been made angry and
1422	full time	inflamed by the blow which she struck her chest on hearing of her son's death; this helped to undermine her constitution and she made sure of her demise by voluntary starvation. #fulltime
1423	full time	He hoped that these recruits, entering the army a few at a time, would hold aloof from rebellion, at first through peaceful
1423	full time	inclinations and fear and later through the influence of time and custom, and that by having no corrupting effect upon the rest they would quiet them. #fulltime
1424	full time	But, united in Syria, they suspected that they should be liable to innovations if they separated; for the time being they could well believe they were being pampered on account of the demands of war. #fulltime
1425	full time	Then, after collecting as many of the soldiers remaining as he could in the short time at his disposal, he made an attack upon what was, to all intents and purposes, a most hostile fortress. #fulltime
1426	full time	And subsequently, when the communication about his son was sent, we had convened, not at the bidding of the consuls or the
1426	full time	prætors for they did not happen to be present but of the tribunes, a practice which by this time had fallen more or less into disuse. #fulltime
1427	full time	Ascertaining there that his son had also been captured Claudius Pollio, the centurion of the legion, had arrested him while
1427	full time	driving through Zeugma, where, in the course of a previous journey, he had been designated Cæsar, he threw himself from the
1427	full time	conveyance for he had not been bound and at the time suffered a fracture of his shoulder; but subsequently though not a great
1427	full time	deal later being sentenced to die before entering Antioch, he was slain by Marcianus Taurus, a centurion, and his body remained unburied until the False Antoninus could come from Syria into Bithynia and gloat over it. #fulltime
1428	full time	Others, taken up tentatively from one time  Reading Greek allote Bekker, Dindorf in place of Greek alla te. #fulltime
1429	full time	Attalus had once been governor of Thrace, had been expelled from the senate by Severus in the war with Niger, but was restored to it by Tarautas, and had at this time been assigned to Cyprus, as the lot directed. #fulltime
1430	full time	Investigations, however, show that there was a M. Valerius Comazon prominent at this time and that the word should be taken as a proper and not as a vulgar noun. #fulltime
1431	full time	Some noteworthy innovations were his applying to himself certain titles connected with his sovereignty before they had been
1431	full time	voted, as I have already described,  See Chapter and again his enrolling himself in the consulship in place of Macrinus when
1431	full time	he had not been elected to it and did not enter upon any of its duties the time expiring too soon yet at first, in three
1431	full time	letters, he had referred to the year by the name of Adventus, as if assuming that the latter had been sole consul. #fulltime
1432	full time	Finally, he set aside a room in the palace and there committed his indecencies, standing all the time naked at the door of it,
1432	full time	as the harlots do, and shaking the curtain, which was fastened by gold rings, the while in a soft and melting voice he solicited the passersby. #fulltime
1433	full time	The fact was admitted by all those who lived in Thrace at that time that lodgings and all the provisions for It were provided at public expense. #fulltime
1434	full time	DIO'S ROMAN HISTORY  Why Dio was not able to relate in detail the history of the reign of Alexander chapter  About Ulpian,
1434	full time	Pretorian Prefect, and his death chapter  Undertakings of Artaxerxes the Persian against the Parthians and Romans chapters , 
1434	full time	Dio's second consulship, his return to his own country, and conclusion of the History chapterDURATION OF TIME.  Duration of time eight years, in which the following are enumerated as consuls. #fulltime
1435	full time	These matters I have set down in detail, so far as I was able, in each case, but of the rest I have not found it feasible to give a detailed account, for the reason that for a long time I did not sojourn in Rome. #fulltime
1436	full time	I will narrate briefly, however, all the things that were done up to the time of my second consulship. #fulltime
1437	full time	Consequently, I expect to spend all the remainder of my life in my own country, as the Divine Presence revealed to me most clearly at the time I was in Bithynia. #fulltime
1438	full time	Only, the images from Troy turned back a second time to Lavinium. #fulltime
1439	full time	These the shepherd's wife took and reared up; for it happened that she had about that time brought forth a stillborn infant. #fulltime
1440	full time	Dio in I "What time he threw both body and soul into the balance, encountering danger in your behalf. #fulltime
1441	full time	Iliadis ,  Numa dwelt on a hill called Quirinal, because he was a Sabine, but he had his official residence in the Sacred Way and used to spend his time near the temple of Vesta and sometimes even remained on the spot. #fulltime
1442	full time	Furthermore, also, that they became composed at that time through their own efforts, and took the sacred oath; after which
1442	full time	they themselves continued at peace both with one another and with the outside tribes throughout the entire reign of Numa, and they seemed to have lighted upon him by divine guidance no less than in the case of Romulus. #fulltime
1443	full time	The Sibyl about whom Lycophron is now speaking was the Cumæan, who died in the time of Tarquin the Proud and left behind three or nine of her prophetic books. #fulltime
1444	full time	After he had in this way assumed an attitude of humility, he kept a sad countenance for some time and shed tears and when he at last managed to utter a sound, he spoke in a low fearful voice with a suggestion of a quaver. #fulltime
1445	full time	Beside the latter at that time was sitting his secretary, who in the Etruscan tongue was called Clusinus; and Mucius, doubtful which might be the king, killed Clusinus instead of the king. #fulltime
1446	full time	Now for the first time "stewards" began to be created and they called them quæstors. #fulltime
1447	full time	After a time the courts were delivered over to different persons, while these officials were managers of the funds. #fulltime
1448	full time	And it seemed to be most inconsistent with human conditions, and to many others also, some willingly, some unwillingly lacuna 
1448	full time	Whenever many men gathered in a compact body seek their own advantage by violence, for the time being they have some equitable agreement and display boldness, but later they become separated and are punished on various pretexts. #fulltime
1449	full time	A severe famine occurring at the same time that a town Norba needed colonizing, the multitude censured the powerful classes on
1449	full time	both these points, maintaining that they were being deprived of food and were being purposely delivered into the hands of enemies for manifest destruction. #fulltime
1450	full time	Recovering himself at length with difficulty he embraced his mother and at the same time kissing her replied "Mother, I yield to you. #fulltime
1451	full time	XIX  For the men from time to time in power when they became unable to restrain them by any other method stirred up purposely
1451	full time	wars after wars in order that they might be kept busy attending to those conflicts and not disturb themselves about the land. #fulltime
1452	full time	For when persons involve themselves in many undertakings that are at the same time hard to manage, they can discover no device
1452	full time	for confronting the multitude and array of dangers, and give up as hopeless quite easy projects after which their sober
1452	full time	judgments and, contrary to what one would expect, their very opinions cause them to lose heart and they voluntarily abandon
1452	full time	matters in hand with the idea that their labor will be but vain; finally they surrender themselves to unforseen dispensations of Heaven and await whatever Chance may bring. #fulltime
1453	full time	Zonaras ,  That the Romans on learning that Minucius with some followers had been intercepted in a lowlying, bushy place
1453	full time	elected as dictator against the enemy Lucius Quintius, in spite of the fact that he was a poor man and at the time was engaged
1453	full time	in tilling with his own hands the little piece of ground which was his sole possession for in general he was the peer in valor
1453	full time	of the foremost and was distinguished by his wise moderation; though he did let his hair grow in curls, from which practice he received the nickname of Cincinnatus. #fulltime
1454	full time	The Romans after fighting many battles against the Falisci,  Perhaps Dio wrote Fidenates or Veientes Livy, IV, , and Falisci
1454	full time	is due to the copyist, although, to be sure, there were wars with the last named Livy, IV, Whether the transference of Juno
1454	full time	from Veii to Rome Livy, V,  or the lectisternia just established about this time Livy, V,  constitutes the topic discussed is a matter respecting which scholars differ. #fulltime
1455	full time	The Romans, who were besieging the city of the Falisci would have consumed much time encamped before it, had not an incident of the following nature occurred. #fulltime
1456	full time	Zonaras, ,  The Romans after withstanding the inroads of the Gauls had no time to recover breath, but went immediately from their march into battle, just as they were, and lost. #fulltime
1457	full time	I am led to admire the barbarians on the one hand because either on account of the gods or his bravery they spared him and far
1457	full time	more do I feel admiration for the man himself for two reasons, that he dared to descend alone among the enemy, and that when
1457	full time	he might have withdrawn to some place of safety he refused and instead voluntarily returned up the Capitol again to a danger
1457	full time	that he foresaw he understood that they hesitated to abandon the spot which was the only part of their country they still held
1457	full time	but saw at the same time that no matter how much they desired to escape it was impossible to do so by reason of the multitude of the besiegers. #fulltime
1458	full time	For just as if they themselves were guilty of no offence and the Romans entertained no anger toward them, but were either
1458	full time	coming to them as friends to friends or else marching through their territory against some other tribes, they changed none of
1458	full time	their accustomed habits and were not in the least disturbed instead, all without exception remaining in their places, at their
1458	full time	occupations and at their other work just as in time of peace, received the army within their borders, gave them hospitable gifts, and in other ways honored them like friends. #fulltime
1459	full time	For by their disputes they kept constantly enfeebling in one way or another the good order of their government; consequently,
1459	full time	all these objects so to speak for which they were formerly accustomed to wage the greatest wars they gained in time not without factional quarrels, to be sure, but still with small difficulty. #fulltime
1460	full time	Romans, accordingly, are very anxious to surpass in war and at the same time they honor virtue; for this reason, compelled in
1460	full time	both regards by their nobility of spirit, they verily earn the right to surpass, since they take pains to recompense fair treatment fairly, and even beyond its value. #fulltime
1461	full time	So did Fortune for both parties in the briefest time reverse her position and by treating the Samnites to the same humiliation at the hands of their outraged foes show clearly that here, too, she was allsupreme. #fulltime
1462	full time	At this time some one reproached him with excessive use of wine, whereupon he replied "That I am not intoxicated is clear to every one from the fact that I am up at the peep of dawn and lie down to rest latest of all. #fulltime
1463	full time	As regards the prophecy the multitude was not capable for the time being of either believing or disbelieving him. #fulltime
1464	full time	And for the time being the weaker party, dreading lest it might lose all, paid court to them, and the wealthier class, encouraged to think it would not be compelled to adopt either course, maintained a hostile attitude. #fulltime
1465	full time	Bands of revelers accordingly jeered at them, they were still celebrating the festival, which, although they were at no time
1465	full time	noted for temperate behavior, rendered them still more wanton, and finally a man planted himself in the road of Postumius and, with a forward inclination, threw him down and soiled his clothing. #fulltime
1466	full time	Zonaras, ,  Pyrrhus, the king of Epirus, had a particularly high opinion of his powers in that he was deemed by foreign
1466	full time	nations a match for the Romans and he believed that it would be opportune to assist the fugitives who had taken refuge with
1466	full time	him, especially as they were Greeks, and at the same time to anticipate the Romans with some plausible excuse before he received any damage at their hands. #fulltime
1467	full time	The Romans suffered some reproach from them for a while, until such time as they took the field against them. #fulltime
1468	full time	The quality of moderation both obtains victories and preserves them after they are won, whereas that of wantonness can prevail against nothing, and if it be at any time fortunate in some matter, very easily destroys it. #fulltime
1469	full time	And at first when an embassy from the latter arrived, they returned no proper answer, because they were aware of the state of
1469	full time	their own equipment and because they were themselves still busied at that time with the war against the neighboring tribes. #fulltime
1470	full time	This was the first time the islanders were about to make the acquaintance of the latter, but they judged them more friendly and faithful than the powers which they then dreaded. #fulltime
1471	full time	XLVIII In the time of Fabius Maximus Berucosus "full of warts" the Romans did this, after burying in the middle Of the Forum a
1471	full time	Greek and a Gallic couple, man and woman they were frightened by a certain oracle which said that Greek and Gaul should occupy the city. #fulltime
1472	full time	Whereas the majority of persons are led by unmixed good fortune to audacity but by a tremendous fear to proper behavior, they had quite a different experience at that time in those matters. #fulltime
1473	full time	It was nimble and at the same time heavy to the utmost degree, and he could, therefore, run, fight, and ride safely at full speed. #fulltime
1474	full time	LIV  It is base to proceed to action ere arguments about the matter have been heard for in such a case, if successful, you
1474	full time	will be thought to have enjoyed good fortune rather than to have employed good counsel, and if worsted, to have taken your resolution without forethought, at a time when there was no profit in it. #fulltime
1475	full time	Now they both reached the camp at a most opportune time Hannibal had no longer any provender; Spain was in turmoil; the
1475	full time	affection of the allies was being alienated from him and if they had waited for even the briefest possible period, they would have conquered without trouble. #fulltime
1476	full time	At the time when burst this frightful war, a terrific earthquake occurred, so that mountains were cleft asunder and showers of great stones poured down from heaven. #fulltime
1477	full time	Furthermore, he concealed from this time on the suspicion that he felt toward them, and treated them in such a way that they chose his side by preference, and became extremely useful both to their native land and to the Romans. #fulltime
1478	full time	Then when the rays of the sun fell upon these, fire was struck out of them that consumed the naval force of the opponents and
1478	full time	the ships themselves, a device which Dio relates Archimedes hit upon long ago, at the time when the Romans were besieging Syracuse. #fulltime
1479	full time	Zonaras, ,  Though such a disaster at that time had overwhelmed Rome, Hannibal neglected to reduce the town, and occupied in
1479	full time	triumphs, drinking bouts and luxurious living appeared sluggish in the enterprise, until at length a Roman army was collected for the Romans. #fulltime
1480	full time	He had never had charge of any public or private enterprise before he ascended the Capitol and spent some time there. #fulltime
1481	full time	At this time the swiftness of his victory, the fact that Hasdrubal had retreated into the interior, and especially the
1481	full time	recollection that he had predicted, whether through divine inspiration or by some chance information, that he would encamp in
1481	full time	the enemy's country, a prediction now fulfilled, caused all to honor him as superior to themselves, while the Spaniards actually named him Great King. #fulltime
1482	full time	Some of the latter he did succeed in capturing; and the Carthaginians not yet lacuna prepared remained still, and Syphax was
1482	full time	by profession their friend, but, as a matter of fact, he held aloof from the action; by urging Scipio to come to terms with
1482	full time	them he showed that he was unwilling that either side should conquer the other and at the same time become his master; on the contrary he desired them to oppose each other as vigorously as possible but to be at peace with him. #fulltime
1483	full time	Publius Sempronius in a small engagement was vanquished by Hannibal, but later overcame the latter in turn Livius and Nero,
1483	full time	having become censors, announced to those Latins who had abandoned the joint expedition and had been designated to furnish a
1483	full time	double quota of soldiers, that a census of persons taxable should be taken; this they did in order that others, too, might contribute money, and they made salt, which up to that time had been free of tax, taxable. #fulltime
1484	full time	Also, when Syphax at that time was still endeavoring to reconcile them on the terms that Scipio should sail from Libya and
1484	full time	Hannibal from Italy, he received his proposition not because he trusted him, but to the end that he might ruin him. #fulltime
1485	full time	On this account Scipio, although at this time the commissioners arrived with peace for the men of Carthage, refused any longer to make it. #fulltime
1486	full time	During this same time Apustius with the Rhodians and with Attalus cruised about and subjugated many of the islands lacuna Paris Fragment, p. #fulltime
1487	full time	LIX  Antiochus and his generals were ruined beforehand; for by his general indolence and his passion for a certain girl he had drifted into luxurious living and had at the same time rendered the rest unfit for warfare. #fulltime
1488	full time	LXIThe Romans, when they had had a taste of Asiatic luxury and had spent some time in the possessions of the vanquished amid
1488	full time	the abundance of spoils and the license granted by success in arms, rapidly came to emulate their prodigality and ere long to trample under foot their ancestral traditions. #fulltime
1489	full time	Though he had at that time entered for a second term upon the consulship and had gained possession of untold spoils, he continued to live in so great indigence that when he died the dowry was with difficulty paid back to his wife. #fulltime
1490	full time	The only thing regarded as a blemish that attaches to his character is his turning over the possessions of the Epirots? to his
1490	full time	soldiers for pillage for the rest, he showed himself a man not devoid of charm and temperate in good fortune, who was seen to be extremely lucky and at the same time full of wise counsel in dealing with the enemy. #fulltime
1491	full time	They were especially anxious at this time to secure the title of Roman allies. #fulltime
1492	full time	They had wished to inspire some fear in Rome, for, not being bound to friendship by any oath, they had power to transfer their
1492	full time	allegiance at any time, and furthermore to be courted by such states as from time to time might be engaged in war with that city. #fulltime
1493	full time	This led to one of his most remarkable characteristics he would devise movements that looked advantageous as if he were merely
1493	full time	going to command others, and at the time of action would execute them as if they had been ordered by others. #fulltime
1494	#hurling	These they killed, and also destroyed many by #hurling blazing firewood into the diggings.
1495	#hurling	But, as he was rounding that point, a great wind fell upon him, #hurling some of the ships against the promontory, sinking others out at sea, and scattering all the rest.
1496	#hurling	Crassus went to help him and by #hurling the horse of his opponents back upon the infantry he thoroughly terrified the latter, so that he carried the battle no further but caused a great slaughter of the fugitives of both divisions.
1497	#hurling	So after #hurling threats at the obdurate image he set up a new one of himself.
1498	#hurling	And when they had prayed, the God immediately gave ear, #hurling a thunderbolt upon the enemy and encouraging the Romans with rain.
1499	#hurling	He set out, therefore, after these remarks, and after #hurling the bloody spear, that lay in the temple of Bellona, into hostile territory.
1500	Larissa	So PHILIP WAS DEFEATED and fled, and afterward, learning that #Larissa and the cities surrounding it had chosen to follow the
1500	Larissa	fortunes of the victors, HE SENT HERALDS TO FLAMININUS. AND HE MADE A TRUCE as soon as Philip had given money and hostages, among them his own son Demetrius, and had sent out envoys to Rome in regard to peace.
1501	Larissa	The latter first encountered Perseus near #Larissa and was worsted in a cavalry skirmish later, though, he got the best of him and Perseus accordingly retreated into Macedonia.
1502	Das Leben des Brian	note ; also G. Sotiriadis, Zur Kritik des Johannes von Antiochia, Supplem. #DasLebendesBrian
1503	#capital	The Romans of the #capital by some vague report heard of the victory of Paulus on the fourth day after the battle, but they placed no sure confidence in it.
1504	#capital	These were the portents which he encountered in person, but before the whole #capital others had occurred both that year and a short time previously.
1505	#capital	For the consuls before setting sail and Pompey using the authority of proconsul had ordered them all to accompany him to
1505	#capital	Thessalonica on the general ground that the #capital was being held by certain enemies but that they themselves were the senate and would maintain the form of the government wherever they should be.
1506	#capital	For the time being the soldiers were quiet, but on the way toward Gaul when they arrived opposite the #capital they revolted, and many of them, despising the lieutenants that had been set over them, arrayed themselves on Caesar's side.
1507	#capital	Thus Caesar was received into the #capital without striking a blow, and when he did not capture the other by pursuit, he returned and kept a more careful watch over the city.
1508	#capital	Also the men first to enter upon office were accustomed to hold the title of the consulship through the entire year as is now
1508	#capital	done the rest were accorded the same title by the dwellers in the #capital themselves and by the people in the rest of Italy
1508	#capital	during each period of their office as is also now the custom, but those in outside nations knew few or none of them and therefore called them lesser consuls.
1509	#capital	The two from the #capital took their stand on the land, the other on a kind of mound constructed for his safety in the sea, by which it was purposely surrounded, not far from them.
1510	#capital	The people of the #capital unanimously bestowed laudations upon him and images, the right to front seats and an arch
1510	#capital	surmounted by a trophy, as well as the privilege of riding into the city on horseback, of wearing the laurel crown on all
1510	#capital	occasions, and of holding a banquet with his wife and children in the precinct of the Capitoline Jupiter on the anniversary of the day that he had conquered, which was to be a perpetual day of thanksgiving.
1511	#capital	The Romans of the #capital voted these honors to Antony as a result of his prominence and in accordance with law, because he
1511	#capital	was commander but they voted them also to Ventidius, since they thought that he had paid the Parthians in full through the
1511	#capital	death of Pacorus for the disasters that Roman arms had incurred in the time of Crassus, especially since both events had befallen on the same day of the corresponding years.
1512	#capital	In the #capital itself and in the rest of Italy there is no one, however, no matter how great renown he has achieved, that has dared to do this.
1513	#capital	For since he had become disliked by many as a result of his long stay in the #capital and by inflicting penalties offended
1513	#capital	many who committed some act contrary to the laws laid down, while he was compelled in sparing many others to transgress his own enactments, he decided to leave the country, somewhat after the manner of Solon.
1514	#capital	Three of them have charge of #capital cases at law.
1515	#capital	Finding him dead, he conveyed his body to the #capital and allowed it to lie in state in the Forum.
1516	#capital	Owls gathered in the #capital and a bolt of lightning descended upon the house at Albanum, where the consuls reside during the sacrifices.
1517	#capital	The next move of Tiberius was to approach the #capital and sojourn in its environs; he did not, however, go within the walls,
1517	#capital	although he was but thirty stades distant, so that he bestowed in marriage the remaining daughters of Germanicus and also Julia, the daughter of Drusus.
1518	#capital	Taking charge of these he crossed the stream, and encountering the barbarians, who had gathered at his approach, he defeated them in a pitched battle and captured Camulodunum, the #capital of Cynobelinus.
1519	#capital	DIO'S ROMAN HISTORYVespasian is made Emperor is also designated as such by portents chapter  The arrogance of Mucianus and
1519	#capital	Domitian chapter  Revolt of the Germans chapter  About the taking of Jerusalem by Titus chapters  Vespasian levies money in
1519	#capital	Egypt chapter  He treats the Romans considerately drives philosophers from the #capital chapters  He gathers money by the
1519	#capital	efforts of his concubine Caenis, as well as by his own chapter  The Temple of Peace and the Colossus are erected Berenice is
1519	#capital	dismissed the Cynics are punished chapter  The punishment of Julius Sabinus likewise of the conspirators, Alienus and
1519	#capital	Marcellus chapter  How Vespasian met his death chapter  The mildness of character of Titus Caesar Augustus chapters ,  War in
1519	#capital	Britain, which is ascertained to be an island chapter  How Mount Vesuvius flamed forth conflagration at Rome chapters  Spectacles death of Titus chapters ,DURATION OF TIME.  Fl.
1520	#capital	Undertaking to ascend the heights themselves, he secured one crest after another amid dangers and approached the #capital of the Dacians.
1521	#capital	Decebalus, when his #capital and all his territory had been occupied and he was himself in danger of being captured, committed suicide, and his head was brought to Rome.
1522	#capital	So the citizens of the #capital prepared a trophybearing arch, besides many other decorations in his own forum, and were getting themselves in readiness to meet him some distance out when he should return.
1523	#capital	Many more, not merely in the #capital but throughout almost the entire empire, perished by the hands of scoundrels, who smeared some deadly drugs on tiny needles, and, for pay, infected men with the poison by means of these instruments.
1524	#capital	So it was that neither his general income nor what was provided by Cleander though incalculable in amount sufficed him, and he
1524	#capital	was compelled to bring charges against both women and men, charges not serious enough for #capital punishment but prolific in threats and terror.
1525	#capital	These in the first place tried #capital cases, from which fact they have obtained this title, on account of their questionings and on account of their search for truth as the result of questionings.
1526	Thiago Silva	Silva Nonius Bassus, Asinius Pollio Verrucosus. #ThiagoSilva
1527	Thiago Silva	When he had finished this exhibition, he wept so bitterly on the last day that all the people saw him, and after this time he
